speaker_id,sentence_id,repetition,phoneme_raw,phoneme,onset,offset,duration_ms,l1_status,gender,F1,F2,F3,f0,SCG,F1_25,F2_25,F1_75,F2_75,formant_qc_fail,F1_norm,F2_norm
AB,11,1,s,s,1.71,1.95,240.0,ru,f,1359.7192117674797,2471.190991684899,,,6519.117340666193,,,,,False,4.348180754781762,1.1970486183558449
AB,11,1,ø,ø,1.95,2.14057,190.57,ru,f,424.0675708943924,1614.1526975384318,2986.018554979358,175.75435206271325,,429.3347081441512,1694.0027784305444,419.7553727774823,1423.275232530708,False,-0.8065917181926642,-0.3408963923507928
AB,11,1,t,t,2.51,2.56,50.0,ru,f,1524.3551519818377,2130.6894761112444,,,,,,,,False,5.255207233020311,0.5860227043550228
AB,11,1,ʁ,ʁ,2.56,2.63,70.0,ru,f,717.2095831088025,1056.573488093935,,,,,,,,False,0.8084114616501404,-1.3414656424015547
AB,11,1,w,w,2.63,2.69,60.0,ru,f,471.8801912485716,966.158861077505,,221.5662447537412,,,,,,False,-0.5431783189145775,-1.5037136136585498
AB,11,1,a,a,2.69,2.83,140.0,ru,f,726.3601093737642,1277.0424495704397,2822.799905832493,219.60342285907552,,659.853148191136,1230.174848455321,754.7291129266611,1221.5006345914885,False,0.8588243277675337,-0.9458367170264682
AB,11,1,f,f,2.83,3.0,170.0,ru,f,1295.7630625694214,1799.060229702178,,,3369.7126014286014,,,,,False,3.995828038277186,-0.009082028307089044
AB,11,1,w,w,3.0,3.05,50.0,ru,f,455.5838148852586,895.3743139151753,,209.17134689454005,,,,,,False,-0.6329597168379004,-1.630735640430237
AB,11,1,a,a,3.05,3.23,180.0,ru,f,764.9718209763683,1343.42711493882,2986.261061980472,205.15153498081116,,744.3499397464099,1237.689640855143,316.75876516421624,1352.0667041614672,False,1.0715472894007816,-0.8267102257272565
AB,12,1,d,d,0.65,0.78,130.0,ru,f,257.7163651284929,808.3317811618213,,205.93195847495093,,,,,,False,-1.7230680848968358,-1.7869324286969843
AB,12,1,i,i,0.78,1.01,230.0,ru,f,517.0323620817363,2745.852341538695,3809.4381586647382,212.51936210202857,,454.9264364170962,2640.1636911284045,352.0480759004158,2770.990546224048,False,-0.2944220968994582,1.68992513919122
